Model,Question Number,Question Score,Answer Score,,,6,Question Score,Answer Score
No Evaluation & Refinement,27,2,3,,,,,
No Evaluation & Refinement,28,2,3,,,,,
No Evaluation & Refinement,29,2,3,,,,,
No Evaluation & Refinement,30,4,4,,,,,
No Evaluation & Refinement,31,3,4,,,,,
No Evaluation & Refinement,32,3,2,,,,,
No Evaluation & Refinement,33,2,4,,,,,
No Evaluation & Refinement,34,4,4,,,,,
No Evaluation & Refinement,35,2,2,,,,,
No Evaluation & Refinement,36,3,3,,,,,
No Evaluation & Refinement,37,2,4,,,,,
No Evaluation & Refinement,38,4,4,,,,,
No Evaluation & Refinement,39,2,4,,,,,
No Evaluation & Refinement,40,4,4,,,,,
No Evaluation & Refinement,41,2,3,,,,,
No Evaluation & Refinement,42,2,2,,,,,
No Evaluation & Refinement,43,2,2,,,,,
No Evaluation & Refinement,44,3,4,,,,,
No Evaluation & Refinement,45,2,2,,,,,
No Evaluation & Refinement,46,3,2,,,,,
No Evaluation & Refinement,47,2,2,,,,,
No Evaluation & Refinement,48,2,2,,,,,
No Evaluation & Refinement,49,4,2,,,,,
No Evaluation & Refinement,50,4,3,,,,,
No Evaluation & Refinement,51,2,2,,,,,
No Evaluation & Refinement,52,4,3,,,,,
No Evaluation & Refinement,53,2,2,,,,,
No Evaluation & Refinement,54,4,3,,,,,
No Evaluation & Refinement,55,3,3,,,,,
No Evaluation & Refinement,56,3,4,,,,,
No Evaluation & Refinement,57,2,4,,,,,
No Evaluation & Refinement,58,3,2,,,,,
No Evaluation & Refinement,59,4,2,,,,,
No Evaluation & Refinement,60,3,3,,,,,
No Evaluation & Refinement,61,3,2,,,,,
No Evaluation & Refinement,62,4,4,,,,,
No Evaluation & Refinement,63,3,2,,,,,
No Evaluation & Refinement,64,3,4,,,,,
No Evaluation & Refinement,65,4,3,,,,,
No Evaluation & Refinement,66,4,2,,,,,
No Evaluation & Refinement,67,3,2,,,,,
No Evaluation & Refinement,68,2,4,,,,,
No Evaluation & Refinement,69,4,4,,,,,
No Evaluation & Refinement,70,4,2,,,,,
No Evaluation & Refinement,71,2,4,,,,,
No Evaluation & Refinement,72,3,2,,,,,
No Evaluation & Refinement,73,4,3,,,,,
No Evaluation & Refinement,74,3,4,,,,,
No Evaluation & Refinement,75,2,4,,,,,
No Evaluation & Refinement,76,3,2,,,,,
No Evaluation & Refinement,77,2,3,,,,,
No Evaluation & Refinement,78,2,4,,,,,
No Evaluation & Refinement,79,3,3,,,,,
No Evaluation & Refinement,80,3,3,,,,,
No Evaluation & Refinement,81,4,4,,,,,
No Evaluation & Refinement,82,3,2,,,,,
No Evaluation & Refinement,83,4,4,,,,,
No Evaluation & Refinement,84,2,3,,,,,
No Evaluation & Refinement,85,2,2,,,,,
No Evaluation & Refinement,86,4,4,,,,,
No Evaluation & Refinement,87,2,4,,,,,
No Evaluation & Refinement,88,4,2,,,,,
No Evaluation & Refinement,89,3,3,,,,,
No Evaluation & Refinement,90,3,3,,,,,
Full Model,1,5,5,,,,,
Full Model,2,5,3,,,,,
Full Model,3,3,4,,,,,
Full Model,4,4,3,,,,,
Full Model,5,3,4,,,,,
Full Model,6,4,4,,,,,
Full Model,7,5,5,,,,,
Full Model,8,4,4,,,,,
Full Model,9,5,5,,,,,
Full Model,10,4,4,,,,,
Full Model,11,3,4,,,,,
Full Model,12,5,3,,,,,
Full Model,13,3,4,,,,,
Full Model,14,5,3,,,,,
Full Model,15,4,4,,,,,
Full Model,16,3,4,,,,,
Full Model,17,5,4,,,,,
Full Model,18,5,5,,,,,
Full Model,19,5,5,,,,,
Full Model,20,4,3,,,,,
Full Model,21,5,4,,,,,
Full Model,22,3,5,,,,,
Full Model,23,4,3,,,,,
Full Model,24,3,5,,,,,
Full Model,25,3,4,,,,,
Full Model,26,4,5,,,,,
Full Model,27,3,4,,,,,
Full Model,28,5,5,,,,,
Full Model,29,3,4,,,,,
Full Model,30,3,3,,,,,
Full Model,31,5,5,,,,,
Full Model,32,3,5,,,,,
Full Model,33,4,3,,,,,
Full Model,34,5,3,,,,,
Full Model,35,3,5,,,,,
Full Model,36,3,3,,,,,
Full Model,37,3,4,,,,,
Full Model,38,3,5,,,,,
Full Model,39,5,5,,,,,
Full Model,40,5,5,,,,,
Full Model,41,3,4,,,,,
Full Model,42,3,4,,,,,
Full Model,43,4,4,,,,,
Full Model,44,3,3,,,,,
Full Model,45,4,4,,,,,
Full Model,46,3,5,,,,,
Full Model,47,4,4,,,,,
Full Model,48,4,4,,,,,
Full Model,49,3,3,,,,,
Full Model,50,3,3,,,,,
Full Model,51,4,4,,,,,
Full Model,52,3,4,,,,,
Full Model,53,4,5,,,,,
Full Model,54,3,3,,,,,
Full Model,55,4,3,,,,,
Full Model,56,5,3,,,,,
Full Model,57,4,5,,,,,
Full Model,58,3,3,,,,,
Full Model,59,3,4,,,,,
Full Model,60,3,4,,,,,
Full Model,61,3,4,,,,,
Full Model,62,4,5,,,,,
Full Model,63,3,4,,,,,
Full Model,64,3,5,,,,,
Full Model,65,3,5,,,,,
Full Model,66,5,5,,,,,
Full Model,67,4,3,,,,,
Full Model,68,4,5,,,,,
Full Model,69,3,3,,,,,
Full Model,70,5,4,,,,,
Full Model,71,3,4,,,,,
Full Model,72,3,5,,,,,
Full Model,73,4,5,,,,,
Full Model,74,5,5,,,,,
Full Model,75,3,3,,,,,
Full Model,76,4,3,,,,,
Full Model,77,5,3,,,,,
Full Model,78,4,4,,,,,
Full Model,79,3,5,,,,,
Full Model,80,4,3,,,,,
Full Model,81,5,4,,,,,
Full Model,82,3,4,,,,,
Full Model,83,3,3,,,,,
Full Model,84,4,5,,,,,
Full Model,85,3,3,,,,,
Full Model,86,4,5,,,,,
Full Model,87,5,4,,,,,
Full Model,88,4,3,,,,,
Full Model,89,4,5,,,,,
Full Model,90,3,5,,,,,
Full Model(llama3-3B),1,5,4,,,,,
Full Model(llama3-3B),2,4,5,,,,,
Full Model(llama3-3B),3,5,4,,,,,
Full Model(llama3-3B),4,4,3,,,,,
Full Model(llama3-3B),5,4,4,,,,,
Full Model(llama3-3B),6,3,4,,,,,
Full Model(llama3-3B),7,4,4,,,,,
Full Model(llama3-3B),8,5,4,,,,,
Full Model(llama3-3B),9,3,5,,,,,
Full Model(llama3-3B),10,4,3,,,,,
Full Model(llama3-3B),11,5,5,,,,,
Full Model(llama3-3B),12,4,4,,,,,
Full Model(llama3-3B),13,4,3,,,,,
Full Model(llama3-3B),14,5,5,,,,,
Full Model(llama3-3B),15,3,4,,,,,
Full Model(llama3-3B),16,4,4,,,,,
Full Model(llama3-3B),17,3,5,,,,,
Full Model(llama3-3B),18,4,5,,,,,
Full Model(llama3-3B),19,5,5,,,,,
Full Model(llama3-3B),20,5,4,,,,,
Full Model(llama3-3B),21,5,4,,,,,
Full Model(llama3-3B),22,5,5,,,,,
Full Model(llama3-3B),23,3,4,,,,,
Full Model(llama3-3B),24,5,5,,,,,
Full Model(llama3-3B),25,4,5,,,,,
Full Model(llama3-3B),26,3,4,,,,,
Full Model(llama3-3B),27,5,4,,,,,
Full Model(llama3-3B),28,5,5,,,,,
Full Model(llama3-3B),29,3,4,,,,,
Full Model(llama3-3B),30,4,5,,,,,
Full Model(llama3-3B),31,5,4,,,,,
Full Model(llama3-3B),32,4,4,,,,,
Full Model(llama3-3B),33,5,5,,,,,
Full Model(llama3-3B),34,3,3,,,,,
Full Model(llama3-3B),35,4,3,,,,,
Full Model(llama3-3B),36,5,4,,,,,
Full Model(llama3-3B),37,4,4,,,,,
Full Model(llama3-3B),38,5,3,,,,,
Full Model(llama3-3B),39,2,4,,,,,
Full Model(llama3-3B),40,5,5,,,,,
Full Model(llama3-3B),41,4,4,,,,,
Full Model(llama3-3B),42,5,3,,,,,
Full Model(llama3-3B),43,5,4,,,,,
Full Model(llama3-3B),44,3,5,,,,,
Full Model(llama3-3B),45,4,5,,,,,
Full Model(llama3-3B),46,5,3,,,,,
Full Model(llama3-3B),47,4,4,,,,,
Full Model(llama3-3B),48,3,2,,,,,
Full Model(llama3-3B),49,3,4,,,,,
Full Model(llama3-3B),50,4,5,,,,,
Full Model(llama3-3B),51,4,2,,,,,
Full Model(llama3-3B),52,4,4,,,,,
Full Model(llama3-3B),53,3,3,,,,,
Full Model(llama3-3B),54,4,5,,,,,
Full Model(llama3-3B),55,3,3,,,,,
Full Model(llama3-3B),56,4,4,,,,,
Full Model(llama3-3B),57,4,5,,,,,
Full Model(llama3-3B),58,5,4,,,,,
Full Model(llama3-3B),59,3,3,,,,,
Full Model(llama3-3B),60,2,3,,,,,
Full Model(llama3-3B),61,3,4,,,,,
Full Model(llama3-3B),62,4,4,,,,,
Full Model(llama3-3B),63,5,5,,,,,
Full Model(llama3-3B),64,3,3,,,,,
Full Model(llama3-3B),65,5,4,,,,,
Full Model(llama3-3B),66,5,3,,,,,
Full Model(llama3-3B),67,3,3,,,,,
Full Model(llama3-3B),68,3,4,,,,,
Full Model(llama3-3B),69,3,4,,,,,
Full Model(llama3-3B),70,4,3,,,,,
Full Model(llama3-3B),71,5,3,,,,,
Full Model(llama3-3B),72,3,5,,,,,
Full Model(llama3-3B),73,3,5,,,,,
Full Model(llama3-3B),74,4,4,,,,,
Full Model(llama3-3B),75,5,3,,,,,
Full Model(llama3-3B),76,4,4,,,,,
Full Model(llama3-3B),77,3,5,,,,,
Full Model(llama3-3B),78,5,5,,,,,
Full Model(llama3-3B),79,2,3,,,,,
Full Model(llama3-3B),80,4,3,,,,,
Full Model(llama3-3B),81,5,4,,,,,
Full Model(llama3-3B),82,4,3,,,,,
Full Model(llama3-3B),83,4,4,,,,,
Full Model(llama3-3B),84,5,4,,,,,
Full Model(llama3-3B),85,3,3,,,,,
Full Model(llama3-3B),86,3,4,,,,,
Full Model(llama3-3B),87,4,3,,,,,
Full Model(llama3-3B),88,3,4,,,,,
Full Model(llama3-3B),89,5,2,,,,,
Full Model(llama3-3B),90,4,3,,,,,
