Model,Question Number,Question Score,Answer Score,,,1,Question Score,Answer Score
No Evaluation & Refinement,84,2,3,,,,,
No Evaluation & Refinement,85,4,3,,,,,
No Evaluation & Refinement,86,2,4,,,,,
No Evaluation & Refinement,87,3,4,,,,,
No Evaluation & Refinement,88,3,2,,,,,
No Evaluation & Refinement,89,4,3,,,,,
No Evaluation & Refinement,90,3,4,,,,,
Full Model,1,4,4,,,,,
Full Model,2,4,4,,,,,
Full Model,3,4,3,,,,,
Full Model,4,5,5,,,,,
Full Model,5,3,4,,,,,
Full Model,6,5,5,,,,,
Full Model,7,3,3,,,,,
Full Model,8,5,4,,,,,
Full Model,9,3,3,,,,,
Full Model,10,4,3,,,,,
Full Model,11,5,3,,,,,
Full Model,12,5,4,,,,,
Full Model,13,5,4,,,,,
Full Model,14,3,4,,,,,
Full Model,15,5,5,,,,,
Full Model,16,3,3,,,,,
Full Model,17,3,5,,,,,
Full Model,18,5,3,,,,,
Full Model,19,5,5,,,,,
Full Model,20,4,5,,,,,
Full Model,21,5,4,,,,,
Full Model,22,4,5,,,,,
Full Model,23,5,5,,,,,
Full Model,24,4,4,,,,,
Full Model,25,5,3,,,,,
Full Model,26,5,3,,,,,
Full Model,27,3,3,,,,,
Full Model,28,5,3,,,,,
Full Model,29,4,3,,,,,
Full Model,30,4,5,,,,,
Full Model,31,3,5,,,,,
Full Model,32,4,4,,,,,
Full Model,33,3,5,,,,,
Full Model,34,5,4,,,,,
Full Model,35,3,5,,,,,
Full Model,36,5,4,,,,,
Full Model,37,4,3,,,,,
Full Model,38,3,3,,,,,
Full Model,39,3,5,,,,,
Full Model,40,3,4,,,,,
Full Model,41,3,4,,,,,
Full Model,42,3,5,,,,,
Full Model,43,5,4,,,,,
Full Model,44,4,4,,,,,
Full Model,45,3,4,,,,,
Full Model,46,3,4,,,,,
Full Model,47,3,3,,,,,
Full Model,48,5,3,,,,,
Full Model,49,5,5,,,,,
Full Model,50,3,3,,,,,
Full Model,51,3,3,,,,,
Full Model,52,3,5,,,,,
Full Model,53,4,4,,,,,
Full Model,54,3,4,,,,,
Full Model,55,4,4,,,,,
Full Model,56,4,5,,,,,
Full Model,57,5,3,,,,,
Full Model,58,4,5,,,,,
Full Model,59,4,4,,,,,
Full Model,60,5,5,,,,,
Full Model,61,3,4,,,,,
Full Model,62,3,3,,,,,
Full Model,63,3,5,,,,,
Full Model,64,5,3,,,,,
Full Model,65,5,4,,,,,
Full Model,66,4,5,,,,,
Full Model,67,4,4,,,,,
Full Model,68,4,5,,,,,
Full Model,69,4,5,,,,,
Full Model,70,3,3,,,,,
Full Model,71,3,5,,,,,
Full Model,72,3,5,,,,,
Full Model,73,3,3,,,,,
Full Model,74,5,5,,,,,
Full Model,75,5,5,,,,,
Full Model,76,4,3,,,,,
Full Model,77,4,4,,,,,
Full Model,78,5,3,,,,,
Full Model,79,3,4,,,,,
Full Model,80,4,3,,,,,
Full Model,81,5,5,,,,,
Full Model,82,3,4,,,,,
Full Model,83,3,4,,,,,
Full Model,84,5,3,,,,,
Full Model,85,3,3,,,,,
Full Model,86,5,3,,,,,
Full Model,87,4,5,,,,,
Full Model,88,3,3,,,,,
Full Model,89,5,5,,,,,
Full Model,90,3,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,2,1,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,2,1,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,2,1,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,2,1,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,2,1,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,2,1,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,2,1,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,2,1,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,2,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,2,1,,,,,
