Model,Question Number,Question Score,Answer Score,,,4,Question Score,Answer Score
No Agent,85,3,2,,,,,
No Agent,86,3,1,,,,,
No Agent,87,2,1,,,,,
No Agent,88,3,3,,,,,
No Agent,89,1,3,,,,,
No Agent,90,3,1,,,,,
No Evaluation & Refinement,1,4,3,,,,,
No Evaluation & Refinement,2,2,4,,,,,
No Evaluation & Refinement,3,3,2,,,,,
No Evaluation & Refinement,4,2,2,,,,,
No Evaluation & Refinement,5,2,2,,,,,
No Evaluation & Refinement,6,3,3,,,,,
No Evaluation & Refinement,7,3,3,,,,,
No Evaluation & Refinement,8,3,2,,,,,
No Evaluation & Refinement,9,2,2,,,,,
No Evaluation & Refinement,10,2,4,,,,,
No Evaluation & Refinement,11,4,3,,,,,
No Evaluation & Refinement,12,2,4,,,,,
No Evaluation & Refinement,13,2,2,,,,,
No Evaluation & Refinement,14,4,3,,,,,
No Evaluation & Refinement,15,4,3,,,,,
No Evaluation & Refinement,16,3,2,,,,,
No Evaluation & Refinement,17,4,4,,,,,
No Evaluation & Refinement,18,3,2,,,,,
No Evaluation & Refinement,19,4,2,,,,,
No Evaluation & Refinement,20,2,3,,,,,
No Evaluation & Refinement,21,2,4,,,,,
No Evaluation & Refinement,22,2,2,,,,,
No Evaluation & Refinement,23,4,2,,,,,
No Evaluation & Refinement,24,3,4,,,,,
No Evaluation & Refinement,25,2,2,,,,,
No Evaluation & Refinement,26,4,2,,,,,
No Evaluation & Refinement,27,2,4,,,,,
No Evaluation & Refinement,28,2,3,,,,,
No Evaluation & Refinement,29,2,4,,,,,
No Evaluation & Refinement,30,3,2,,,,,
No Evaluation & Refinement,31,3,3,,,,,
No Evaluation & Refinement,32,3,2,,,,,
No Evaluation & Refinement,33,3,4,,,,,
No Evaluation & Refinement,34,4,4,,,,,
No Evaluation & Refinement,35,3,4,,,,,
No Evaluation & Refinement,36,2,3,,,,,
No Evaluation & Refinement,37,2,4,,,,,
No Evaluation & Refinement,38,2,4,,,,,
No Evaluation & Refinement,39,2,4,,,,,
No Evaluation & Refinement,40,4,2,,,,,
No Evaluation & Refinement,41,4,4,,,,,
No Evaluation & Refinement,42,3,4,,,,,
No Evaluation & Refinement,43,4,4,,,,,
No Evaluation & Refinement,44,4,2,,,,,
No Evaluation & Refinement,45,4,2,,,,,
No Evaluation & Refinement,46,4,4,,,,,
No Evaluation & Refinement,47,2,4,,,,,
No Evaluation & Refinement,48,4,3,,,,,
No Evaluation & Refinement,49,2,4,,,,,
No Evaluation & Refinement,50,3,2,,,,,
No Evaluation & Refinement,51,4,2,,,,,
No Evaluation & Refinement,52,3,2,,,,,
No Evaluation & Refinement,53,3,2,,,,,
No Evaluation & Refinement,54,2,4,,,,,
No Evaluation & Refinement,55,3,2,,,,,
No Evaluation & Refinement,56,4,3,,,,,
No Evaluation & Refinement,57,2,3,,,,,
No Evaluation & Refinement,58,2,3,,,,,
No Evaluation & Refinement,59,3,2,,,,,
No Evaluation & Refinement,60,4,4,,,,,
No Evaluation & Refinement,61,3,3,,,,,
No Evaluation & Refinement,62,4,3,,,,,
No Evaluation & Refinement,63,3,3,,,,,
No Evaluation & Refinement,64,3,2,,,,,
No Evaluation & Refinement,65,2,4,,,,,
No Evaluation & Refinement,66,3,2,,,,,
No Evaluation & Refinement,67,3,4,,,,,
No Evaluation & Refinement,68,3,3,,,,,
No Evaluation & Refinement,69,4,2,,,,,
No Evaluation & Refinement,70,3,3,,,,,
No Evaluation & Refinement,71,2,4,,,,,
No Evaluation & Refinement,72,2,2,,,,,
No Evaluation & Refinement,73,3,3,,,,,
No Evaluation & Refinement,74,4,2,,,,,
No Evaluation & Refinement,75,4,4,,,,,
No Evaluation & Refinement,76,2,3,,,,,
No Evaluation & Refinement,77,2,2,,,,,
No Evaluation & Refinement,78,4,3,,,,,
No Evaluation & Refinement,79,4,2,,,,,
No Evaluation & Refinement,80,2,4,,,,,
No Evaluation & Refinement,81,3,4,,,,,
No Evaluation & Refinement,82,2,4,,,,,
No Evaluation & Refinement,83,4,3,,,,,
No Evaluation & Refinement,84,4,3,,,,,
No Evaluation & Refinement,85,3,4,,,,,
No Evaluation & Refinement,86,2,3,,,,,
No Evaluation & Refinement,87,2,4,,,,,
No Evaluation & Refinement,88,2,3,,,,,
No Evaluation & Refinement,89,2,3,,,,,
No Evaluation & Refinement,90,2,4,,,,,
Full Model,1,5,5,,,,,
Full Model,2,3,3,,,,,
Full Model,3,4,5,,,,,
Full Model,4,3,3,,,,,
Full Model,5,5,5,,,,,
Full Model,6,4,5,,,,,
Full Model,7,3,3,,,,,
Full Model,8,3,5,,,,,
Full Model,9,3,5,,,,,
Full Model,10,5,3,,,,,
Full Model,11,5,4,,,,,
Full Model,12,3,3,,,,,
Full Model,13,3,4,,,,,
Full Model,14,3,4,,,,,
Full Model,15,4,5,,,,,
Full Model,16,3,4,,,,,
Full Model,17,5,4,,,,,
Full Model,18,3,4,,,,,
Full Model,19,5,3,,,,,
Full Model,20,4,4,,,,,
Full Model,21,4,5,,,,,
Full Model,22,5,5,,,,,
Full Model,23,5,3,,,,,
Full Model,24,4,5,,,,,
Full Model,25,3,3,,,,,
Full Model,26,3,4,,,,,
Full Model,27,5,5,,,,,
Full Model,28,4,4,,,,,
Full Model,29,3,4,,,,,
Full Model,30,5,3,,,,,
Full Model,31,3,4,,,,,
Full Model,32,3,4,,,,,
Full Model,33,4,5,,,,,
Full Model,34,5,5,,,,,
Full Model,35,5,4,,,,,
Full Model,36,4,5,,,,,
Full Model,37,4,3,,,,,
Full Model,38,4,5,,,,,
Full Model,39,4,3,,,,,
Full Model,40,5,3,,,,,
Full Model,41,5,4,,,,,
Full Model,42,5,3,,,,,
Full Model,43,3,3,,,,,
Full Model,44,3,3,,,,,
Full Model,45,5,5,,,,,
Full Model,46,5,5,,,,,
Full Model,47,3,5,,,,,
Full Model,48,4,4,,,,,
Full Model,49,3,4,,,,,
Full Model,50,4,3,,,,,
Full Model,51,3,5,,,,,
Full Model,52,4,4,,,,,
Full Model,53,5,4,,,,,
Full Model,54,4,5,,,,,
Full Model,55,4,3,,,,,
Full Model,56,4,3,,,,,
Full Model,57,3,5,,,,,
Full Model,58,5,5,,,,,
Full Model,59,4,3,,,,,
Full Model,60,3,4,,,,,
Full Model,61,4,3,,,,,
Full Model,62,4,5,,,,,
Full Model,63,3,5,,,,,
Full Model,64,4,4,,,,,
Full Model,65,5,3,,,,,
Full Model,66,4,4,,,,,
Full Model,67,3,3,,,,,
Full Model,68,3,3,,,,,
Full Model,69,5,3,,,,,
Full Model,70,3,4,,,,,
Full Model,71,4,3,,,,,
Full Model,72,3,3,,,,,
Full Model,73,4,4,,,,,
Full Model,74,4,3,,,,,
Full Model,75,4,5,,,,,
Full Model,76,5,5,,,,,
Full Model,77,3,4,,,,,
Full Model,78,4,5,,,,,
Full Model,79,3,3,,,,,
Full Model,80,4,5,,,,,
Full Model,81,3,4,,,,,
Full Model,82,3,4,,,,,
Full Model,83,5,3,,,,,
Full Model,84,3,5,,,,,
Full Model,85,5,3,,,,,
Full Model,86,5,5,,,,,
Full Model,87,5,4,,,,,
Full Model,88,4,5,,,,,
Full Model,89,4,4,,,,,
Full Model,90,4,4,,,,,
Full Model(llama3-3B),1,4,3,,,,,
Full Model(llama3-3B),2,3,2,,,,,
Full Model(llama3-3B),3,5,4,,,,,
Full Model(llama3-3B),4,4,3,,,,,
Full Model(llama3-3B),5,3,2,,,,,
Full Model(llama3-3B),6,5,4,,,,,
Full Model(llama3-3B),7,4,3,,,,,
Full Model(llama3-3B),8,2,2,,,,,
Full Model(llama3-3B),9,3,2,,,,,
Full Model(llama3-3B),10,5,4,,,,,
Full Model(llama3-3B),11,4,3,,,,,
Full Model(llama3-3B),12,4,3,,,,,
Full Model(llama3-3B),13,3,2,,,,,
Full Model(llama3-3B),14,5,4,,,,,
Full Model(llama3-3B),15,3,2,,,,,
Full Model(llama3-3B),16,4,3,,,,,
Full Model(llama3-3B),17,5,4,,,,,
Full Model(llama3-3B),18,2,1,,,,,
Full Model(llama3-3B),19,3,2,,,,,
Full Model(llama3-3B),20,4,3,,,,,
Full Model(llama3-3B),21,5,4,,,,,
Full Model(llama3-3B),22,3,2,,,,,
Full Model(llama3-3B),23,4,3,,,,,
Full Model(llama3-3B),24,3,2,,,,,
Full Model(llama3-3B),25,5,4,,,,,
Full Model(llama3-3B),26,4,3,,,,,
Full Model(llama3-3B),27,2,1,,,,,
Full Model(llama3-3B),28,3,2,,,,,
Full Model(llama3-3B),29,4,3,,,,,
Full Model(llama3-3B),30,5,4,,,,,
Full Model(llama3-3B),31,4,3,,,,,
Full Model(llama3-3B),32,3,2,,,,,
Full Model(llama3-3B),33,5,4,,,,,
Full Model(llama3-3B),34,4,3,,,,,
Full Model(llama3-3B),35,3,2,,,,,
Full Model(llama3-3B),36,5,4,,,,,
Full Model(llama3-3B),37,2,1,,,,,
Full Model(llama3-3B),38,3,2,,,,,
Full Model(llama3-3B),39,4,3,,,,,
Full Model(llama3-3B),40,5,4,,,,,
Full Model(llama3-3B),41,3,2,,,,,
Full Model(llama3-3B),42,4,3,,,,,
Full Model(llama3-3B),43,3,2,,,,,
Full Model(llama3-3B),44,5,4,,,,,
Full Model(llama3-3B),45,4,3,,,,,
Full Model(llama3-3B),46,2,1,,,,,
Full Model(llama3-3B),47,3,2,,,,,
Full Model(llama3-3B),48,4,3,,,,,
Full Model(llama3-3B),49,5,4,,,,,
Full Model(llama3-3B),50,3,2,,,,,
Full Model(llama3-3B),51,4,3,,,,,
Full Model(llama3-3B),52,5,4,,,,,
Full Model(llama3-3B),53,4,3,,,,,
Full Model(llama3-3B),54,3,2,,,,,
Full Model(llama3-3B),55,5,4,,,,,
Full Model(llama3-3B),56,4,3,,,,,
Full Model(llama3-3B),57,3,2,,,,,
Full Model(llama3-3B),58,5,4,,,,,
Full Model(llama3-3B),59,2,1,,,,,
Full Model(llama3-3B),60,3,2,,,,,
Full Model(llama3-3B),61,4,3,,,,,
Full Model(llama3-3B),62,5,4,,,,,
Full Model(llama3-3B),63,3,2,,,,,
Full Model(llama3-3B),64,4,3,,,,,
Full Model(llama3-3B),65,3,2,,,,,
Full Model(llama3-3B),66,5,4,,,,,
Full Model(llama3-3B),67,4,3,,,,,
Full Model(llama3-3B),68,2,1,,,,,
Full Model(llama3-3B),69,3,2,,,,,
Full Model(llama3-3B),70,4,3,,,,,
Full Model(llama3-3B),71,5,4,,,,,
Full Model(llama3-3B),72,3,2,,,,,
Full Model(llama3-3B),73,4,3,,,,,
Full Model(llama3-3B),74,5,4,,,,,
Full Model(llama3-3B),75,4,3,,,,,
Full Model(llama3-3B),76,3,2,,,,,
Full Model(llama3-3B),77,5,4,,,,,
Full Model(llama3-3B),78,4,3,,,,,
Full Model(llama3-3B),79,3,2,,,,,
Full Model(llama3-3B),80,5,4,,,,,
Full Model(llama3-3B),81,2,1,,,,,
Full Model(llama3-3B),82,3,2,,,,,
Full Model(llama3-3B),83,4,3,,,,,
Full Model(llama3-3B),84,5,4,,,,,
Full Model(llama3-3B),85,3,2,,,,,
Full Model(llama3-3B),86,4,3,,,,,
Full Model(llama3-3B),87,3,2,,,,,
Full Model(llama3-3B),88,2,4,,,,,
Full Model(llama3-3B),89,4,3,,,,,
Full Model(llama3-3B),90,2,1,,,,,
