Model,Question Number,Question Score,Answer Score,,,8,Question Score,Answer Score
No Evaluation & Refinement,64,4,4,,,,,
No Evaluation & Refinement,65,2,3,,,,,
No Evaluation & Refinement,66,4,3,,,,,
No Evaluation & Refinement,67,2,2,,,,,
No Evaluation & Refinement,68,2,2,,,,,
No Evaluation & Refinement,69,4,4,,,,,
No Evaluation & Refinement,70,4,3,,,,,
No Evaluation & Refinement,71,2,4,,,,,
No Evaluation & Refinement,72,2,2,,,,,
No Evaluation & Refinement,73,3,3,,,,,
No Evaluation & Refinement,74,2,2,,,,,
No Evaluation & Refinement,75,2,4,,,,,
No Evaluation & Refinement,76,3,2,,,,,
No Evaluation & Refinement,77,3,2,,,,,
No Evaluation & Refinement,78,4,4,,,,,
No Evaluation & Refinement,79,2,3,,,,,
No Evaluation & Refinement,80,2,3,,,,,
No Evaluation & Refinement,81,3,4,,,,,
No Evaluation & Refinement,82,4,4,,,,,
No Evaluation & Refinement,83,3,3,,,,,
No Evaluation & Refinement,84,3,2,,,,,
No Evaluation & Refinement,85,4,3,,,,,
No Evaluation & Refinement,86,2,4,,,,,
No Evaluation & Refinement,87,2,4,,,,,
No Evaluation & Refinement,88,4,4,,,,,
No Evaluation & Refinement,89,3,3,,,,,
No Evaluation & Refinement,90,4,4,,,,,
Full Model,1,4,4,,,,,
Full Model,2,4,5,,,,,
Full Model,3,5,3,,,,,
Full Model,4,3,4,,,,,
Full Model,5,5,3,,,,,
Full Model,6,5,3,,,,,
Full Model,7,5,4,,,,,
Full Model,8,3,5,,,,,
Full Model,9,5,3,,,,,
Full Model,10,3,3,,,,,
Full Model,11,3,4,,,,,
Full Model,12,4,3,,,,,
Full Model,13,3,5,,,,,
Full Model,14,5,5,,,,,
Full Model,15,3,4,,,,,
Full Model,16,4,3,,,,,
Full Model,17,5,5,,,,,
Full Model,18,4,5,,,,,
Full Model,19,5,4,,,,,
Full Model,20,3,4,,,,,
Full Model,21,5,4,,,,,
Full Model,22,4,3,,,,,
Full Model,23,5,4,,,,,
Full Model,24,3,3,,,,,
Full Model,25,5,4,,,,,
Full Model,26,5,3,,,,,
Full Model,27,3,3,,,,,
Full Model,28,5,5,,,,,
Full Model,29,3,3,,,,,
Full Model,30,3,4,,,,,
Full Model,31,4,3,,,,,
Full Model,32,3,3,,,,,
Full Model,33,5,3,,,,,
Full Model,34,3,5,,,,,
Full Model,35,3,5,,,,,
Full Model,36,4,3,,,,,
Full Model,37,4,3,,,,,
Full Model,38,3,5,,,,,
Full Model,39,5,3,,,,,
Full Model,40,3,5,,,,,
Full Model,41,5,3,,,,,
Full Model,42,3,5,,,,,
Full Model,43,5,3,,,,,
Full Model,44,5,4,,,,,
Full Model,45,3,5,,,,,
Full Model,46,4,3,,,,,
Full Model,47,3,5,,,,,
Full Model,48,5,5,,,,,
Full Model,49,4,3,,,,,
Full Model,50,5,3,,,,,
Full Model,51,3,5,,,,,
Full Model,52,3,4,,,,,
Full Model,53,5,4,,,,,
Full Model,54,5,4,,,,,
Full Model,55,3,4,,,,,
Full Model,56,3,4,,,,,
Full Model,57,3,5,,,,,
Full Model,58,3,4,,,,,
Full Model,59,4,3,,,,,
Full Model,60,3,5,,,,,
Full Model,61,4,4,,,,,
Full Model,62,3,5,,,,,
Full Model,63,4,4,,,,,
Full Model,64,4,3,,,,,
Full Model,65,4,5,,,,,
Full Model,66,4,3,,,,,
Full Model,67,5,3,,,,,
Full Model,68,4,4,,,,,
Full Model,69,5,5,,,,,
Full Model,70,4,5,,,,,
Full Model,71,3,5,,,,,
Full Model,72,5,3,,,,,
Full Model,73,4,3,,,,,
Full Model,74,3,3,,,,,
Full Model,75,3,5,,,,,
Full Model,76,3,4,,,,,
Full Model,77,5,4,,,,,
Full Model,78,4,5,,,,,
Full Model,79,4,5,,,,,
Full Model,80,5,3,,,,,
Full Model,81,5,3,,,,,
Full Model,82,5,4,,,,,
Full Model,83,5,5,,,,,
Full Model,84,3,3,,,,,
Full Model,85,3,4,,,,,
Full Model,86,5,4,,,,,
Full Model,87,3,4,,,,,
Full Model,88,4,4,,,,,
Full Model,89,4,4,,,,,
Full Model,90,4,5,,,,,
Full Model(llama3-3B),1,4,4,,,,,
Full Model(llama3-3B),2,5,3,,,,,
Full Model(llama3-3B),3,3,4,,,,,
Full Model(llama3-3B),4,4,3,,,,,
Full Model(llama3-3B),5,3,5,,,,,
Full Model(llama3-3B),6,5,3,,,,,
Full Model(llama3-3B),7,4,3,,,,,
Full Model(llama3-3B),8,4,4,,,,,
Full Model(llama3-3B),9,3,3,,,,,
Full Model(llama3-3B),10,5,4,,,,,
Full Model(llama3-3B),11,4,3,,,,,
Full Model(llama3-3B),12,5,4,,,,,
Full Model(llama3-3B),13,4,4,,,,,
Full Model(llama3-3B),14,4,3,,,,,
Full Model(llama3-3B),15,3,5,,,,,
Full Model(llama3-3B),16,3,4,,,,,
Full Model(llama3-3B),17,5,3,,,,,
Full Model(llama3-3B),18,4,4,,,,,
Full Model(llama3-3B),19,4,3,,,,,
Full Model(llama3-3B),20,4,4,,,,,
Full Model(llama3-3B),21,3,4,,,,,
Full Model(llama3-3B),22,3,5,,,,,
Full Model(llama3-3B),23,4,3,,,,,
Full Model(llama3-3B),24,3,4,,,,,
Full Model(llama3-3B),25,4,5,,,,,
Full Model(llama3-3B),26,5,3,,,,,
Full Model(llama3-3B),27,3,4,,,,,
Full Model(llama3-3B),28,4,3,,,,,
Full Model(llama3-3B),29,4,4,,,,,
Full Model(llama3-3B),30,3,5,,,,,
Full Model(llama3-3B),31,4,4,,,,,
Full Model(llama3-3B),32,5,4,,,,,
Full Model(llama3-3B),33,3,3,,,,,
Full Model(llama3-3B),34,4,4,,,,,
Full Model(llama3-3B),35,4,3,,,,,
Full Model(llama3-3B),36,4,4,,,,,
Full Model(llama3-3B),37,3,4,,,,,
Full Model(llama3-3B),38,4,4,,,,,
Full Model(llama3-3B),39,3,3,,,,,
Full Model(llama3-3B),40,4,3,,,,,
Full Model(llama3-3B),41,4,4,,,,,
Full Model(llama3-3B),42,3,4,,,,,
Full Model(llama3-3B),43,4,3,,,,,
Full Model(llama3-3B),44,3,4,,,,,
Full Model(llama3-3B),45,5,5,,,,,
Full Model(llama3-3B),46,4,3,,,,,
Full Model(llama3-3B),47,4,3,,,,,
Full Model(llama3-3B),48,4,4,,,,,
Full Model(llama3-3B),49,4,3,,,,,
Full Model(llama3-3B),50,4,5,,,,,
Full Model(llama3-3B),51,3,4,,,,,
Full Model(llama3-3B),52,4,5,,,,,
Full Model(llama3-3B),53,3,3,,,,,
Full Model(llama3-3B),54,4,4,,,,,
Full Model(llama3-3B),55,4,3,,,,,
Full Model(llama3-3B),56,3,3,,,,,
Full Model(llama3-3B),57,4,4,,,,,
Full Model(llama3-3B),58,4,5,,,,,
Full Model(llama3-3B),59,4,4,,,,,
Full Model(llama3-3B),60,3,4,,,,,
Full Model(llama3-3B),61,5,5,,,,,
Full Model(llama3-3B),62,4,4,,,,,
Full Model(llama3-3B),63,3,3,,,,,
Full Model(llama3-3B),64,4,4,,,,,
Full Model(llama3-3B),65,4,5,,,,,
Full Model(llama3-3B),66,3,3,,,,,
Full Model(llama3-3B),67,4,4,,,,,
Full Model(llama3-3B),68,3,3,,,,,
Full Model(llama3-3B),69,5,3,,,,,
Full Model(llama3-3B),70,3,4,,,,,
Full Model(llama3-3B),71,4,3,,,,,
Full Model(llama3-3B),72,4,4,,,,,
Full Model(llama3-3B),73,3,4,,,,,
Full Model(llama3-3B),74,4,3,,,,,
Full Model(llama3-3B),75,4,3,,,,,
Full Model(llama3-3B),76,4,4,,,,,
Full Model(llama3-3B),77,5,4,,,,,
Full Model(llama3-3B),78,3,3,,,,,
Full Model(llama3-3B),79,4,3,,,,,
Full Model(llama3-3B),80,3,4,,,,,
Full Model(llama3-3B),81,4,3,,,,,
Full Model(llama3-3B),82,4,3,,,,,
Full Model(llama3-3B),83,5,4,,,,,
Full Model(llama3-3B),84,4,5,,,,,
Full Model(llama3-3B),85,3,5,,,,,
Full Model(llama3-3B),86,3,3,,,,,
Full Model(llama3-3B),87,4,3,,,,,
Full Model(llama3-3B),88,3,4,,,,,
Full Model(llama3-3B),89,4,3,,,,,
Full Model(llama3-3B),90,5,4,,,,,
