Model,Question Number,Question Score,Answer Score,,,2,Question Score,Answer Score
No Evaluation & Refinement,50,4,4,,,,,
No Evaluation & Refinement,51,4,3,,,,,
No Evaluation & Refinement,52,4,2,,,,,
No Evaluation & Refinement,53,4,3,,,,,
No Evaluation & Refinement,54,3,2,,,,,
No Evaluation & Refinement,55,2,3,,,,,
No Evaluation & Refinement,56,2,3,,,,,
No Evaluation & Refinement,57,4,2,,,,,
No Evaluation & Refinement,58,3,2,,,,,
No Evaluation & Refinement,59,2,4,,,,,
No Evaluation & Refinement,60,2,4,,,,,
No Evaluation & Refinement,61,2,3,,,,,
No Evaluation & Refinement,62,2,4,,,,,
No Evaluation & Refinement,63,4,3,,,,,
No Evaluation & Refinement,64,3,4,,,,,
No Evaluation & Refinement,65,3,2,,,,,
No Evaluation & Refinement,66,4,2,,,,,
No Evaluation & Refinement,67,4,4,,,,,
No Evaluation & Refinement,68,2,3,,,,,
No Evaluation & Refinement,69,3,3,,,,,
No Evaluation & Refinement,70,4,2,,,,,
No Evaluation & Refinement,71,4,3,,,,,
No Evaluation & Refinement,72,2,3,,,,,
No Evaluation & Refinement,73,2,3,,,,,
No Evaluation & Refinement,74,4,3,,,,,
No Evaluation & Refinement,75,2,4,,,,,
No Evaluation & Refinement,76,4,2,,,,,
No Evaluation & Refinement,77,2,2,,,,,
No Evaluation & Refinement,78,3,2,,,,,
No Evaluation & Refinement,79,4,2,,,,,
No Evaluation & Refinement,80,3,2,,,,,
No Evaluation & Refinement,81,4,2,,,,,
No Evaluation & Refinement,82,3,3,,,,,
No Evaluation & Refinement,83,4,4,,,,,
No Evaluation & Refinement,84,4,4,,,,,
No Evaluation & Refinement,85,3,3,,,,,
No Evaluation & Refinement,86,2,3,,,,,
No Evaluation & Refinement,87,4,4,,,,,
No Evaluation & Refinement,88,2,3,,,,,
No Evaluation & Refinement,89,4,3,,,,,
No Evaluation & Refinement,90,3,3,,,,,
Full Model,1,3,4,,,,,
Full Model,2,4,5,,,,,
Full Model,3,4,5,,,,,
Full Model,4,3,4,,,,,
Full Model,5,5,3,,,,,
Full Model,6,4,4,,,,,
Full Model,7,5,5,,,,,
Full Model,8,5,5,,,,,
Full Model,9,4,3,,,,,
Full Model,10,5,5,,,,,
Full Model,11,5,4,,,,,
Full Model,12,3,5,,,,,
Full Model,13,3,3,,,,,
Full Model,14,4,4,,,,,
Full Model,15,4,5,,,,,
Full Model,16,4,5,,,,,
Full Model,17,4,5,,,,,
Full Model,18,3,4,,,,,
Full Model,19,5,4,,,,,
Full Model,20,4,3,,,,,
Full Model,21,4,4,,,,,
Full Model,22,5,3,,,,,
Full Model,23,5,3,,,,,
Full Model,24,4,5,,,,,
Full Model,25,3,3,,,,,
Full Model,26,5,3,,,,,
Full Model,27,4,4,,,,,
Full Model,28,3,4,,,,,
Full Model,29,3,3,,,,,
Full Model,30,3,5,,,,,
Full Model,31,5,4,,,,,
Full Model,32,3,5,,,,,
Full Model,33,4,4,,,,,
Full Model,34,3,4,,,,,
Full Model,35,5,3,,,,,
Full Model,36,4,5,,,,,
Full Model,37,3,5,,,,,
Full Model,38,3,3,,,,,
Full Model,39,5,4,,,,,
Full Model,40,5,4,,,,,
Full Model,41,4,5,,,,,
Full Model,42,5,4,,,,,
Full Model,43,4,4,,,,,
Full Model,44,5,3,,,,,
Full Model,45,4,4,,,,,
Full Model,46,4,3,,,,,
Full Model,47,3,4,,,,,
Full Model,48,4,4,,,,,
Full Model,49,3,3,,,,,
Full Model,50,4,4,,,,,
Full Model,51,3,4,,,,,
Full Model,52,4,3,,,,,
Full Model,53,4,5,,,,,
Full Model,54,3,5,,,,,
Full Model,55,3,5,,,,,
Full Model,56,3,3,,,,,
Full Model,57,3,3,,,,,
Full Model,58,3,5,,,,,
Full Model,59,5,4,,,,,
Full Model,60,4,4,,,,,
Full Model,61,3,3,,,,,
Full Model,62,3,4,,,,,
Full Model,63,4,5,,,,,
Full Model,64,5,5,,,,,
Full Model,65,3,3,,,,,
Full Model,66,5,3,,,,,
Full Model,67,5,4,,,,,
Full Model,68,3,4,,,,,
Full Model,69,4,5,,,,,
Full Model,70,3,4,,,,,
Full Model,71,4,3,,,,,
Full Model,72,5,3,,,,,
Full Model,73,5,4,,,,,
Full Model,74,4,5,,,,,
Full Model,75,4,3,,,,,
Full Model,76,5,3,,,,,
Full Model,77,5,3,,,,,
Full Model,78,3,4,,,,,
Full Model,79,3,3,,,,,
Full Model,80,4,3,,,,,
Full Model,81,3,3,,,,,
Full Model,82,5,3,,,,,
Full Model,83,4,3,,,,,
Full Model,84,4,5,,,,,
Full Model,85,4,4,,,,,
Full Model,86,5,5,,,,,
Full Model,87,5,4,,,,,
Full Model,88,4,4,,,,,
Full Model,89,5,3,,,,,
Full Model,90,3,3,,,,,
Full Model(llama3-3B),1,3,3,,,,,
Full Model(llama3-3B),2,4,2,,,,,
Full Model(llama3-3B),3,5,4,,,,,
Full Model(llama3-3B),4,3,3,,,,,
Full Model(llama3-3B),5,4,2,,,,,
Full Model(llama3-3B),6,5,4,,,,,
Full Model(llama3-3B),7,3,3,,,,,
Full Model(llama3-3B),8,1,1,,,,,
Full Model(llama3-3B),9,3,2,,,,,
Full Model(llama3-3B),10,5,4,,,,,
Full Model(llama3-3B),11,3,3,,,,,
Full Model(llama3-3B),12,4,3,,,,,
Full Model(llama3-3B),13,3,2,,,,,
Full Model(llama3-3B),14,5,4,,,,,
Full Model(llama3-3B),15,2,2,,,,,
Full Model(llama3-3B),16,4,3,,,,,
Full Model(llama3-3B),17,5,4,,,,,
Full Model(llama3-3B),18,1,1,,,,,
Full Model(llama3-3B),19,2,2,,,,,
Full Model(llama3-3B),20,4,3,,,,,
Full Model(llama3-3B),21,5,4,,,,,
Full Model(llama3-3B),22,3,2,,,,,
Full Model(llama3-3B),23,4,3,,,,,
Full Model(llama3-3B),24,3,2,,,,,
Full Model(llama3-3B),25,5,4,,,,,
Full Model(llama3-3B),26,3,3,,,,,
Full Model(llama3-3B),27,2,1,,,,,
Full Model(llama3-3B),28,4,2,,,,,
Full Model(llama3-3B),29,3,3,,,,,
Full Model(llama3-3B),30,5,4,,,,,
Full Model(llama3-3B),31,4,3,,,,,
Full Model(llama3-3B),32,3,2,,,,,
Full Model(llama3-3B),33,5,4,,,,,
Full Model(llama3-3B),34,3,3,,,,,
Full Model(llama3-3B),35,2,2,,,,,
Full Model(llama3-3B),36,5,4,,,,,
Full Model(llama3-3B),37,2,1,,,,,
Full Model(llama3-3B),38,4,2,,,,,
Full Model(llama3-3B),39,3,3,,,,,
Full Model(llama3-3B),40,5,4,,,,,
Full Model(llama3-3B),41,4,2,,,,,
Full Model(llama3-3B),42,3,3,,,,,
Full Model(llama3-3B),43,5,2,,,,,
Full Model(llama3-3B),44,3,4,,,,,
Full Model(llama3-3B),45,2,3,,,,,
Full Model(llama3-3B),46,4,1,,,,,
Full Model(llama3-3B),47,5,2,,,,,
Full Model(llama3-3B),48,3,3,,,,,
Full Model(llama3-3B),49,4,4,,,,,
Full Model(llama3-3B),50,5,2,,,,,
Full Model(llama3-3B),51,3,3,,,,,
Full Model(llama3-3B),52,5,4,,,,,
Full Model(llama3-3B),53,4,3,,,,,
Full Model(llama3-3B),54,3,2,,,,,
Full Model(llama3-3B),55,5,4,,,,,
Full Model(llama3-3B),56,3,3,,,,,
Full Model(llama3-3B),57,2,2,,,,,
Full Model(llama3-3B),58,5,4,,,,,
Full Model(llama3-3B),59,3,1,,,,,
Full Model(llama3-3B),60,4,2,,,,,
Full Model(llama3-3B),61,3,3,,,,,
Full Model(llama3-3B),62,5,4,,,,,
Full Model(llama3-3B),63,2,2,,,,,
Full Model(llama3-3B),64,4,3,,,,,
Full Model(llama3-3B),65,5,2,,,,,
Full Model(llama3-3B),66,4,4,,,,,
Full Model(llama3-3B),67,3,3,,,,,
Full Model(llama3-3B),68,5,1,,,,,
Full Model(llama3-3B),69,3,2,,,,,
Full Model(llama3-3B),70,2,3,,,,,
Full Model(llama3-3B),71,5,4,,,,,
Full Model(llama3-3B),72,4,2,,,,,
Full Model(llama3-3B),73,3,3,,,,,
Full Model(llama3-3B),74,5,4,,,,,
Full Model(llama3-3B),75,3,3,,,,,
Full Model(llama3-3B),76,2,2,,,,,
Full Model(llama3-3B),77,5,4,,,,,
Full Model(llama3-3B),78,4,3,,,,,
Full Model(llama3-3B),79,3,2,,,,,
Full Model(llama3-3B),80,5,4,,,,,
Full Model(llama3-3B),81,3,1,,,,,
Full Model(llama3-3B),82,4,2,,,,,
Full Model(llama3-3B),83,3,3,,,,,
Full Model(llama3-3B),84,5,4,,,,,
Full Model(llama3-3B),85,4,2,,,,,
Full Model(llama3-3B),86,3,3,,,,,
Full Model(llama3-3B),87,5,2,,,,,
Full Model(llama3-3B),88,4,4,,,,,
Full Model(llama3-3B),89,3,3,,,,,
Full Model(llama3-3B),90,3,1,,,,,
